"","X","Country","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop","Population","Continent","Case.Fatality.rate","GDP","GDP.for.health.expenditure","Population.1","CO2.emission.per.capita","Life.Expectancy","Govhealthexp"
"96",37,29,"Ireland",24200,NA,1547,NA,19470,3183,54,4908,314,258808,52484,4931150,NA,6.39256198347107,"80264,835","7,184",4867309,7.314,81.4,"5 545"
"97",143,135,"Isle of Man",335,NA,24,NA,296,15,9,3942,282,4167,49035,84980,NA,7.16417910447761,NA,NA,84077,NA,NA,NA
"98",43,35,"Israel",16650,7,277,1,13299,3074,51,1927,32,512452,59319,8638917,NA,1.66366366366366,"44474,065","7,407",8882800,7.863,82.5,"3 015"
"99",14,6,"Italy",225886,NA,32007,NA,127326,66553,749,3735,529,3041366,50294,60471924,NA,14.1695368460197,"33431,25","8,840",60421760,5.271,82.7,"3 620"
"100",87,79,"Ivory Coast",2119,NA,28,NA,1040,1051,NA,81,1,18608,708,26294743,NA,1.32137800849457,"1793,699","4,453",NA,NA,53.3,"176"
"101",132,124,"Jamaica",520,NA,9,NA,131,380,NA,176,3,8674,2931,2959659,NA,1.73076923076923,"5698,628","5,988",2934855,2.581,76.2,"543"
"102",46,38,"Japan",16305,NA,749,NA,11564,3992,228,129,6,250151,1977,126520115,NA,4.59368291934989,"43043,422","10,936",126529100,9.539,83.7,"4 563"
"103",127,119,"Jordan",629,NA,9,NA,413,207,5,62,0.9,144356,14165,10191015,NA,1.4308426073132,"4541,55","8,119",9956011,2.965,74.1,"757"
"104",64,56,"Kazakhstan",6751,311,35,NA,3469,3247,31,360,2,553062,29497,18749587,NA,0.518441712338913,"9672,002","3,125",18272430,14.363,72,"820"
"105",114,106,"Kenya",912,NA,50,NA,336,526,1,17,0.9,44851,836,53621669,NA,5.48245614035088,"2151,504","4,803",51393010,0.306,63.4,"158"
"106",42,34,"Kuwait",16764,1073,121,3,4681,11962,179,3933,28,252696,59279,4262847,NA,0.721784776902887,"28882,721","5,291",4137309,25.849,74.7,"3 797"
"107",104,96,"Kyrgyzstan",1243,27,14,NA,898,331,5,191,2,59490,9137,6510930,NA,1.12630732099759,"1337,268","6,186",6322800,1.646,71.1,"241"
"108",196,188,"Laos",19,NA,0,NA,14,5,NA,3,NA,4653,641,7262665,NA,0,"2919,074","2,528",7061507,0.294,65.7,"178"
"109",109,101,"Latvia",1012,3,21,2,694,297,3,536,11,90968,48170,1888464,NA,2.07509881422925,"19104,841","5,956",1927174,3.498,74.6,"1 682"
"110",111,103,"Lebanon",954,23,26,NA,251,677,4,140,4,63720,9331,6828869,NA,2.72536687631027,"10042,777","8,196",6848925,3.844,74.9,"1 185"
"111",155,147,"Liberia",229,NA,22,NA,123,84,NA,45,4,NA,NA,5042565,NA,9.60698689956332,"688,281","8,155",4818977,0.214,61.4,"105"
"112",180,172,"Libya",65,NA,3,NA,35,27,NA,9,0.4,3633,530,6859926,NA,4.61538461538461,"5129,186",NA,6678567,8.959,72.7,NA
"113",176,168,"Liechtenstein",82,NA,1,NA,55,26,NA,2151,26,900,23613,38115,NA,1.21951219512195,NA,NA,37910,1.182,NA,NA
"114",94,86,"Lithuania",1547,NA,59,NA,997,491,17,567,22,231104,84767,2726360,NA,3.81383322559793,"20354,997","6,458",2801543,4.378,73.6,"2 133"
"115",72,64,"Luxembourg",3947,NA,107,NA,3715,125,8,6318,171,62260,99660,624724,NA,2.71091968583734,"116727,211","5,481",607950,17.362,82,"5 956"
"116",185,177,"Macao",45,NA,0,NA,45,0,1,69,NA,NA,NA,648258,NA,0,"80065,2",NA,631636,2.175,NA,NA
"117",148,140,"Madagascar",326,4,2,1,119,205,NA,12,0.07,5670,205,27599599,NA,0.613496932515337,"490,906","5,502",26262368,0.13,65.5,"85"
"118",179,171,"Malawi",70,NA,3,NA,27,40,1,4,0.2,1803,95,19066433,NA,4.28571428571429,"385,677","9,648",18143315,0.078,58.3,"115"
"119",62,54,"Malaysia",6978,37,114,1,5646,1218,11,216,4,462257,14304,32315733,NA,1.63370593293207,"11484,505","3,763",31528585,8.13,75,"1 110"
"120",105,97,"Maldives",1106,NA,4,NA,80,1022,9,2051,7,11775,21831,539365,NA,0.361663652802893,"16620,422","9,030",515696,3.068,78.5,"1 507"
"121",116,108,"Mali",874,NA,52,NA,512,310,NA,43,3,3483,173,20174887,NA,5.94965675057208,"967,139","3,794",19077690,0.083,58.2,"84"
"122",129,121,"Malta",569,11,6,NA,460,103,1,1289,14,53196,120515,441407,NA,1.05448154657293,"32019,43","9,341",484630,5.401,81.7,"3 943"
"123",158,150,"Martinique",192,NA,14,NA,91,87,NA,512,37,NA,NA,375298,NA,7.29166666666667,NA,NA,NA,NA,NA,NA
"124",177,169,"Mauritania",81,NA,4,NA,7,70,NA,17,0.9,2583,557,4633922,NA,4.93827160493827,"1426,842","4,403",4403319,0.689,63.1,"170"
"125",144,136,"Mauritius",332,NA,10,NA,322,0,NA,261,8,89814,70635,1271525,NA,3.01204819277108,"11720,621","5,719",1265303,3.353,74.6,"1 278"
"126",103,95,"Mayotte",1370,NA,18,NA,627,725,9,5037,66,5200,19119,271976,NA,1.31386861313869,NA,NA,NA,NA,NA,NA
"127",24,16,"Mexico",51633,2414,5332,155,35388,10913,378,401,41,177133,1376,128770253,NA,10.326729029884,"10405,789","5,517",126190788,3.99,76.7,"1 036"
"128",67,59,"Moldova",6138,NA,217,NA,2425,3496,251,1521,54,20447,5067,4035024,NA,3.53535353535354,"3470,194","7,013",2706049,1.387,72.1,"477"
"129",172,164,"Monaco",97,NA,4,NA,87,6,1,2474,102,NA,NA,39209,NA,4.12371134020619,NA,"1,773",38682,NA,NA,"2 991"
"130",165,157,"Mongolia",140,NA,0,NA,26,114,2,43,NA,11367,3474,3271795,NA,0,"4363,904","4,002",3170208,7.088,68.8,"518"
"131",149,141,"Montenegro",324,NA,9,NA,311,4,2,516,14,10167,16188,628057,NA,2.77777777777778,"9115,788",NA,622227,3.556,76.1,NA
"132",210,202,"Montserrat",11,NA,1,NA,10,0,NA,2204,200,36,7212,4992,NA,9.09090909090909,NA,NA,NA,NA,NA,NA
"133",63,55,"Morocco",6972,20,193,1,3890,2889,1,189,5,99339,2695,36857758,NA,2.76821572002295,"3464,022","5,245",36029138,1.751,74.3,"438"
"134",163,155,"Mozambique",145,NA,0,NA,44,101,NA,5,NA,6272,201,31141818,NA,0,"521,831","4,941",29495962,0.321,57.6,"62"
"135",214,206,"MS Zaandam",9,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,22.2222222222222,NA,NA,NA,NA,NA,NA
"136",159,151,"Myanmar",191,3,6,NA,101,84,NA,4,0.1,14561,268,54366792,NA,3.1413612565445,"1350,833","4,645",53708395,0.414,66.6,"287"
"137",204,196,"Namibia",16,NA,0,NA,13,3,NA,6,NA,2074,818,2535193,NA,0,"5963,026","8,551",2448255,1.652,65.8,"895"
"138",139,131,"Nepal",402,27,2,NA,37,363,1,14,0.07,107253,3689,29071791,NA,0.497512437810945,"1176,582","5,553",28087871,0.298,69.2,"150"
"139",26,18,"Netherlands",44249,108,5715,21,NA,NA,323,2583,334,302395,17652,17130492,NA,12.9155461140365,"53873,37","10,101",17231624,9.92,81.9,"5 513"
"140",199,191,"New Caledonia",18,NA,0,NA,18,0,NA,63,NA,5454,19125,285170,NA,0,NA,NA,284060,16.006,NA,NA
"141",97,89,"New Zealand",1503,4,21,NA,1442,40,2,312,4,233843,48539,4817585,NA,1.39720558882236,"42084,399","9,170",4841000,7.687,81.6,"3 768"
"142",189,181,"Nicaragua",25,NA,8,NA,7,10,NA,4,1,NA,NA,6615040,NA,32,"1869,615","8,645",6465513,0.792,74.8,"506"
"143",115,107,"Niger",909,NA,55,NA,714,140,NA,38,2,5888,244,24088734,NA,6.05060506050605,"427,445","7,740",22442948,0.111,61.8,"79"
"144",66,58,"Nigeria",6175,NA,191,NA,1644,4340,7,30,0.9,35345,172,205486161,NA,3.09311740890688,"2400,454","3,756",195874740,0.546,54.5,"221"
"145",90,82,"North Macedonia",1839,22,106,2,1351,382,21,883,51,22255,10682,2083384,NA,5.76400217509516,NA,"6,062",2082958,3.614,NA,NA
"146",57,49,"Norway",8257,NA,233,NA,32,7992,18,1524,43,218039,40257,5416217,NA,2.82184812886036,"78333,222","10,446",5311916,9.271,81.8,"6 519"
"147",69,61,"Oman",5671,292,26,1,1574,4071,31,1114,5,61000,11984,5089968,NA,0.45847293246341,"17723,145","3,849",4829483,15.189,76.6,"1 591"
"148",27,19,"Pakistan",43966,1841,939,36,12489,30538,111,200,4,400292,1817,220356788,NA,2.13574125460583,"1388,244","2,899",212215030,0.851,66.4,"161"
"149",140,132,"Palestine",388,NA,2,NA,337,49,NA,76,0.4,44876,8823,5086351,NA,0.515463917525773,NA,NA,NA,NA,NA,NA
"150",54,46,"Panama",9726,120,279,4,6081,3366,72,2258,65,51105,11867,4306425,NA,2.86859962985811,"17148,321","7,319",4176873,2.256,77.8,"1 795"
"151",216,208,"Papua New Guinea",8,NA,0,NA,8,0,NA,0.9,NA,2402,269,8925907,NA,0,"2725,812","2,469",8606316,0.795,62.9,"104"
"152",119,111,"Paraguay",788,NA,11,NA,219,558,NA,111,2,20124,2826,7121943,NA,1.39593908629442,"5904,857","6,655",6956071,0.864,74,"867"
